,No_Die,Chamber_Num,process4,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,Lot_Num,Wafer_Num,Datetime
0,NOLSM325131325,1,Implantation,1.50E+16,1.32E+17,6.47E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,13,28,01-03-2022
1,NOLSM326132326,2,Implantation,1.11E+16,4.37E+16,1.04E+18,3.03E+17,6.00E+17,32135.618,105.552,895,156,13,29,01-03-2022
2,NOLSM327133327,3,Implantation,1.04E+16,1.51E+16,6.47E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,13,30,01-03-2022
3,NOLSM328134328,1,Implantation,8.88514E+15,1.02E+17,3.41E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,13,31,01-03-2022
4,NOLSM329135329,2,Implantation,1.67E+16,7.88E+16,7.26E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,13,32,01-03-2022
5,NOLSM330136330,3,Implantation,1.13E+16,8.12E+16,3.27E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,13,33,01-03-2022
6,NOLSM331137331,1,Implantation,1.13E+16,1.16E+17,9.13E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,13,34,01-03-2022
7,NOLSM332138332,2,Implantation,1.12E+16,7.20E+16,5.02E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,13,35,01-03-2022
8,NOLSM333139333,3,Implantation,1.45E+16,6.48E+16,-8.78959E+15,3.01E+17,6.00E+17,31810.414,103.625,903,153,13,36,01-03-2022
9,NOLSM3341310334,1,Implantation,1.06E+16,8.54E+16,7.99E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,13,37,01-03-2022
10,NOLSM3351311335,2,Implantation,1.53E+16,1.01E+17,4.94E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,13,38,01-03-2022
11,NOLSM3361312336,3,Implantation,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,13,39,01-03-2022
12,NOLSM3371313337,1,Implantation,1.13E+16,-1.31E+16,5.40E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,13,40,01-03-2022
13,NOLSM3381314338,2,Implantation,1.17E+16,1.10E+17,4.95E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,13,41,01-03-2022
14,NOLSM3391315339,3,Implantation,1.18E+16,8.54E+16,4.07E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,13,42,01-03-2022
15,NOLSM3401316340,1,Implantation,1.42E+16,8.73E+16,5.93E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,13,43,01-03-2022
16,NOLSM3411317341,2,Implantation,7.83445E+15,1.31E+17,3.65E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,13,44,01-03-2022
17,NOLSM3421318342,3,Implantation,1.08E+16,3.69E+16,5.43E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,13,45,01-03-2022
18,NOLSM3431319343,1,Implantation,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,13,46,01-03-2022
19,NOLSM3441320344,2,Implantation,1.34E+16,7.75E+16,4.48E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,13,47,01-03-2022
20,NOLSM3451321345,3,Implantation,1.19E+16,8.61E+16,5.08E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,13,48,01-03-2022
21,NOLSM3461322346,1,Implantation,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,13,49,01-03-2022
22,NOLSM3471323347,2,Implantation,1.66E+16,2.38E+17,1.03E+18,3.00E+17,6.00E+17,31877.743,101.707,914,155,13,50,01-03-2022
23,NOLSM3481324348,3,Implantation,1.15E+16,1.09E+17,7.63E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,13,51,01-03-2022
24,NOLSM3491325349,1,Implantation,9.26588E+15,9.56E+16,4.79E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,13,52,01-03-2022
25,NOLSM3501326350,2,Implantation,1.88E+16,1.53E+16,7.91E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,13,53,01-03-2022
26,NOLSM3511327351,3,Implantation,7.19569E+15,1.30E+17,5.99E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,13,54,01-03-2022
27,NOLSM325131,1,Implantation,1.50E+16,1.32E+17,6.47E+17,3.01E+17,6.00E+17,30795.934,103.433,854,154,13,1,01-03-2022
28,NOLSM326132,1,Implantation,1.11E+16,4.37E+16,1.04E+18,3.03E+17,6.00E+17,32135.618,105.552,895,156,13,2,01-03-2022
29,NOLSM327133,2,Implantation,1.04E+16,1.51E+16,6.47E+17,2.98E+17,6.00E+17,31057.895,102.598,898,152,13,3,01-03-2022
30,NOLSM328134,3,Implantation,8.88514E+15,1.02E+17,3.41E+17,3.00E+17,6.00E+17,32140.566,102.963,879,155,13,4,01-03-2022
31,NOLSM329135,3,Implantation,1.67E+16,7.88E+16,7.26E+17,3.02E+17,6.00E+17,31986.009,101.419,882,155,13,5,01-03-2022
32,NOLSM330136,2,Implantation,1.13E+16,8.12E+16,3.27E+17,2.99E+17,6.00E+17,31982.632,103.847,871,152,13,6,01-03-2022
33,NOLSM331137,1,Implantation,1.13E+16,1.16E+17,9.13E+17,2.99E+17,6.00E+17,32499.229,102.84,916,157,13,7,01-03-2022
34,NOLSM332138,1,Implantation,1.12E+16,7.20E+16,5.02E+17,3.00E+17,6.00E+17,32016.39,104.368,891,153,13,8,01-03-2022
35,NOLSM333139,2,Implantation,1.45E+16,6.48E+16,-8.78959E+15,3.01E+17,6.00E+17,31810.414,103.625,903,153,13,9,01-03-2022
36,NOLSM3341310,3,Implantation,1.06E+16,8.54E+16,7.99E+17,3.00E+17,6.00E+17,31969.699,102.847,883,161,13,10,01-03-2022
37,NOLSM3351311,3,Implantation,1.53E+16,1.01E+17,4.94E+17,3.00E+17,6.00E+17,31419.868,103.298,862,154,13,11,01-03-2022
38,NOLSM3361312,2,Implantation,1.06E+16,1.63E+17,2.20E+17,3.03E+17,6.00E+17,31196.102,104.54,892,154,13,12,01-03-2022
39,NOLSM3371313,1,Implantation,1.13E+16,-1.31E+16,5.40E+17,3.00E+17,6.00E+17,31201.477,103.231,902,158,13,13,01-03-2022
40,NOLSM3381314,1,Implantation,1.17E+16,1.10E+17,4.95E+17,3.00E+17,6.00E+17,31084.207,101.561,895,153,13,14,01-03-2022
41,NOLSM3391315,2,Implantation,1.18E+16,8.54E+16,4.07E+17,3.01E+17,6.00E+17,32253.776,102.869,904,155,13,15,01-03-2022
42,NOLSM3401316,3,Implantation,1.42E+16,8.73E+16,5.93E+17,3.00E+17,6.00E+17,31446.324,102.759,882,155,13,16,01-03-2022
43,NOLSM3411317,3,Implantation,7.83445E+15,1.31E+17,3.65E+17,3.03E+17,6.00E+17,32773.392,105.126,896,150,13,17,01-03-2022
44,NOLSM3421318,2,Implantation,1.08E+16,3.69E+16,5.43E+17,2.99E+17,6.00E+17,31202.426,100.703,898,155,13,18,01-03-2022
45,NOLSM3431319,1,Implantation,1.17E+16,9.08E+16,1.99E+17,3.01E+17,6.00E+17,31661.976,101.119,891,149,13,19,01-03-2022
46,NOLSM3441320,1,Implantation,1.34E+16,7.75E+16,4.48E+17,2.99E+17,6.00E+17,30785.849,103.203,880,156,13,20,01-03-2022
47,NOLSM3451321,3,Implantation,1.19E+16,8.61E+16,5.08E+17,2.99E+17,6.00E+17,31765.567,102.207,878,156,13,21,01-03-2022
48,NOLSM3461322,3,Implantation,1.24E+16,1.30E+17,2.17E+17,3.01E+17,6.00E+17,30901.365,101.874,912,155,13,22,01-03-2022
49,NOLSM3471323,2,Implantation,1.66E+16,2.38E+17,1.03E+18,3.00E+17,6.00E+17,31877.743,101.707,914,155,13,23,01-03-2022
50,NOLSM3481324,1,Implantation,1.15E+16,1.09E+17,7.63E+17,3.00E+17,6.00E+17,30107.396,102.811,899,156,13,24,01-03-2022
51,NOLSM3491325,1,Implantation,9.26588E+15,9.56E+16,4.79E+17,2.99E+17,6.00E+17,32048.247,102.598,903,157,13,25,01-03-2022
52,NOLSM3501326,2,Implantation,1.88E+16,1.53E+16,7.91E+17,3.00E+17,6.00E+17,31221.028,104.234,879,155,13,26,01-03-2022
53,NOLSM3511327,3,Implantation,7.19569E+15,1.30E+17,5.99E+17,3.00E+17,6.00E+17,31645.163,100.57,890,157,13,27,01-03-2022
54,NOLSM352141352,1,Implantation,1.09E+16,-4.12E+16,9.74E+17,3.03E+17,6.00E+17,31292.665,100.718,899,151,14,28,02-03-2022
55,NOLSM353142353,2,Implantation,1.14E+16,7.25E+16,8.05E+17,2.99E+17,6.00E+17,32015.142,103.175,874,155,14,29,02-03-2022
56,NOLSM354143354,3,Implantation,1.62E+16,8.58E+16,4.53E+17,3.01E+17,6.00E+17,30828.379,102.963,882,158,14,30,02-03-2022
57,NOLSM355144355,1,Implantation,1.24E+16,1.50E+17,3.60E+17,2.99E+17,6.00E+17,32525.804,102.767,926,156,14,31,02-03-2022
58,NOLSM356145356,2,Implantation,1.54E+16,4.30E+16,5.93E+17,3.02E+17,6.00E+17,31584.1,102.448,925,156,14,32,02-03-2022
59,NOLSM357146357,3,Implantation,1.65E+16,1.26E+17,8.12E+17,3.00E+17,6.00E+17,31743.858,104.18,914,156,14,33,02-03-2022
60,NOLSM358147358,1,Implantation,7.24055E+15,1.96E+17,5.41E+17,2.96E+17,6.00E+17,32590.44,106.173,915,154,14,34,02-03-2022
61,NOLSM359148359,2,Implantation,9.91245E+15,6.10E+16,1.66E+17,3.02E+17,6.00E+17,32202.196,103.67,882,153,14,35,02-03-2022
62,NOLSM360149360,3,Implantation,1.38E+16,1.09E+17,7.02E+17,3.00E+17,6.00E+17,31167.976,104.326,888,159,14,36,02-03-2022
